name,calorias,gorduras totais,gorduras saturadas,gorduras trans,colesterol,sódio,carboidratos,fibras,açúcares,proteínas,vitamina A,vitamina C,cálcio,ferro,categoria,rede
WHOPPER,3.056073549200658,2.5562551019549336,2.485836002274646,1.0,0.0,1.001862305063582,1.1443785656001486,2.1756820644181,0.0,3.0427431818966744,0.0,0.0,0.0,0.0,SANDUICHE DE CARNE,blue
WHOPPER DUPLO,3.9641473914621006,3.5789370260967472,3.1114511611271287,1.0,0.0,1.001862305063582,1.1336838570371746,2.76352309662715,0.0,4.478184336742986,0.0,0.0,0.0,0.0,SANDUICHE DE CARNE,blue
WHOPPER FURIOSO,3.5450363873414346,2.86750612234592,2.407634107418086,1.0,0.0,1.003724610127164,1.157746951303866,2.1756820644181,0.0,3.153161732269468,0.0,0.0,0.0,0.0,SANDUICHE DE CARNE,blue
WHOPPER JR.,2.1206663805835193,1.80035976671968,1.0782018948565604,1.0,0.0,2.1751144951202397,1.0855576685037918,2.1756820644181,0.0,2.159394778914329,0.0,0.0,0.0,0.0,SANDUICHE DE CARNE,blue
WHOPPER JR. BARBECUE BACON,2.357555208999548,1.9782174926573868,1.7820189485656033,1.0,0.0,2.614618490125591,1.0989260542075092,2.1756820644181,0.0,2.4906504300327086,0.0,0.0,0.0,0.0,SANDUICHE DE CARNE,blue
HAMBÚRGUER,1.9019997697379547,1.53357317781312,1.3128075794262413,1.0,0.0,1.9926085988892042,1.0828839913630484,1.58784103220905,0.0,1.7177205774231559,0.0,0.0,0.0,0.0,SANDUICHE DE CARNE,blue
CHEESEBURGER DUPLO,2.5731847835833688,2.3339329445328003,2.0948265279918443,1.0,0.0,2.616480795189173,1.0828839913630484,2.1756820644181,0.0,3.097952457083071,0.0,0.0,0.0,0.0,SANDUICHE DE CARNE,blue
CHEESEBURGER BACON,2.151036743200959,1.80035976671968,1.5474132639959224,1.3456401019665782,0.0,2.6351038458249927,1.0828839913630484,1.58784103220905,0.0,2.545859705219105,0.0,0.0,0.0,0.0,SANDUICHE DE CARNE,blue
CHEESEBURGER DUPLO BACON,2.6035551462008084,2.378397376017227,2.0948265279918443,1.0,0.0,2.6723499470966328,1.0828839913630484,2.1756820644181,0.0,3.097952457083071,0.0,0.0,0.0,0.0,SANDUICHE DE CARNE,blue
STACKER DUPLO,2.8586661921873007,2.778577259377067,2.0948265279918443,1.0,0.0,1.001862305063582,1.0882313456445352,2.1756820644181,0.0,2.9323246315238816,0.0,0.0,0.0,0.0,SANDUICHE DE CARNE,blue
