name,calorias,gorduras totais,gorduras saturadas,gorduras trans,colesterol,sódio,carboidratos,fibras,açúcares,proteínas,vitamina A,vitamina C,cálcio,ferro,sal,cafeína,categoria,rede
WHOPPER,3.5055749725070537,2.9840766499812506,2.8978311706126885,1.0,0.0,1.0024741266788948,1.214282750549869,1.3715814565171516,0.0,3.4819956590765373,0.0,0.0,0.0,0.0,0.0,0.0,SANDUICHE DE CARNE,#0055AA
WHOPPER DUPLO,4.612173077055959,4.287898448540358,3.6969179792917153,1.0,0.0,1.0024741266788948,1.1984099542128417,1.5573721847757274,0.0,5.226100716805996,0.0,0.0,0.0,0.0,0.0,0.0,SANDUICHE DE CARNE,#0055AA
WHOPPER FURIOSO,4.10143549034108,3.3808919799775006,2.7979453195278103,1.0,0.0,1.0049482533577896,1.2341237459711532,1.3715814565171516,0.0,3.616157586594188,0.0,0.0,0.0,0.0,0.0,0.0,SANDUICHE DE CARNE,#0055AA
WHOPPER JR.,2.3656678949115255,2.0203822771332147,1.0998858510848784,1.0,0.0,2.5611739343826274,1.1269823706962188,1.3715814565171516,0.0,2.408700238935332,0.0,0.0,0.0,0.0,0.0,0.0,SANDUICHE DE CARNE,#0055AA
WHOPPER JR. BARBECUE BACON,2.654345661315588,2.247133894273929,1.9988585108487835,1.0,0.0,3.1450678306018034,1.146823366117503,1.3715814565171516,0.0,2.811186021488284,0.0,0.0,0.0,0.0,0.0,0.0,SANDUICHE DE CARNE,#0055AA
HAMBÚRGUER,2.099196110538545,1.680254851422143,1.3995434043395134,1.0,0.0,2.3187095198509358,1.123014171611962,1.1857907282585758,0.0,1.8720525288647294,0.0,0.0,0.0,0.0,0.0,0.0,SANDUICHE DE CARNE,#0055AA
CHEESEBURGER DUPLO,2.9171164486833883,2.700637128555358,2.398401915188297,1.0,0.0,3.147541957280698,1.123014171611962,1.3715814565171516,0.0,3.5490766228353627,0.0,0.0,0.0,0.0,0.0,0.0,SANDUICHE DE CARNE,#0055AA
CHEESEBURGER BACON,2.4026778649633282,2.0203822771332147,1.6992009575941482,1.4851164879717849,0.0,3.1722832240696466,1.123014171611962,1.1857907282585758,0.0,2.878266985247109,0.0,0.0,0.0,0.0,0.0,0.0,SANDUICHE DE CARNE,#0055AA
CHEESEBURGER DUPLO BACON,2.954126418735191,2.7573250328405363,2.398401915188297,1.0,0.0,3.221765757647543,1.123014171611962,1.3715814565171516,0.0,3.5490766228353627,0.0,0.0,0.0,0.0,0.0,0.0,SANDUICHE DE CARNE,#0055AA
STACKER DUPLO,3.265010167170335,3.2675161714071432,2.398401915188297,1.0,0.0,1.0024741266788948,1.1309505697804756,1.3715814565171516,0.0,3.347833731558887,0.0,0.0,0.0,0.0,0.0,0.0,SANDUICHE DE CARNE,#0055AA
STACKER TRIPLO,6.6588244209206575,8.029300131362143,6.293950107498552,2.455349463915354,0.0,1.0074223800366844,1.1388869679489892,1.1857907282585758,0.0,5.494424571841297,0.0,0.0,0.0,0.0,0.0,0.0,SANDUICHE DE CARNE,#0055AA
CHEDDAR,2.188020038662872,1.8503185642776787,1.6992009575941482,1.0,0.0,2.380562686823306,1.1111095743591914,1.5573721847757274,0.0,2.207457347658856,0.0,0.0,0.0,0.0,0.0,0.0,SANDUICHE DE CARNE,#0055AA
CHEDDAR DUPLO,2.5174087721239173,2.360509702844286,2.8978311706126885,1.4851164879717849,0.0,2.3360284066031993,1.1111095743591914,1.3715814565171516,0.0,2.3416192751765066,0.0,0.0,0.0,0.0,0.0,0.0,SANDUICHE DE CARNE,#0055AA
BIG KING,3.9830035861753106,3.834395214258929,3.1974887238673237,1.4851164879717849,0.0,1.0024741266788948,1.5872934644700114,1.5573721847757274,0.0,3.2807527678000614,0.0,0.0,0.0,0.0,0.0,0.0,SANDUICHE DE CARNE,#0055AA
MEGA STACKER 2.0,5.071096705698315,5.1382170128180364,4.296233085800985,1.0,0.0,1.0049482533577896,1.1706325606230439,1.5573721847757274,0.0,5.159019753047171,0.0,0.0,0.0,0.0,0.0,0.0,SANDUICHE DE CARNE,#0055AA
MEGA STACKER 3.0,6.595907471832592,6.895542045658573,5.894406703159039,1.0,0.0,1.0049482533577896,1.1825371578758144,1.5573721847757274,0.0,7.506853484606057,0.0,0.0,0.0,0.0,0.0,0.0,SANDUICHE DE CARNE,#0055AA
MEGA STACKER 4.0,8.12071823796687,8.652867078499108,7.392694469432214,1.0,0.0,1.0049482533577896,1.190473556044328,1.5573721847757274,0.0,1.804971565105904,0.0,0.0,0.0,0.0,0.0,0.0,SANDUICHE DE CARNE,#0055AA
MEGA STACKER ATÔMICO 2.0,5.381980454133458,5.591720247099465,4.59589063905562,1.0,0.0,1.0049482533577896,1.1706325606230439,1.5573721847757274,0.0,5.561505535600123,0.0,0.0,0.0,0.0,0.0,0.0,SANDUICHE DE CARNE,#0055AA
MEGA STACKER ATÔMICO 3.0,7.21767496870288,7.80254851422143,6.493721809668308,1.0,0.0,1.0049482533577896,1.1825371578758144,1.5573721847757274,0.0,2.2745383114176816,0.0,0.0,0.0,0.0,0.0,0.0,SANDUICHE DE CARNE,#0055AA
MEGA STACKER ATÔMICO 4.0,9.053369483272302,10.013376781343394,8.291667129196119,1.0,0.0,1.0074223800366844,1.190473556044328,1.5573721847757274,0.0,1.6708096375882533,0.0,0.0,0.0,0.0,0.0,0.0,SANDUICHE DE CARNE,#0055AA
MEGA STACKER RODEIO 2.0,5.722472178610046,5.648408151384643,4.496004787970742,1.0,0.0,1.0049482533577896,1.2579329404766941,1.7431629130343032,0.0,5.561505535600123,0.0,0.0,0.0,0.0,0.0,0.0,SANDUICHE DE CARNE,#0055AA
MEGA STACKER RODEIO 3.0,7.254684938754683,7.405733184225179,6.094178405328795,1.0,0.0,1.0074223800366844,1.2698375377294648,1.7431629130343032,0.0,7.238529629570755,0.0,0.0,0.0,0.0,0.0,0.0,SANDUICHE DE CARNE,#0055AA
MEGA STACKER RODEIO 4.0,8.723980749811258,9.106370312780538,7.59246617160197,1.0,0.0,1.0074223800366844,1.2738057368137214,1.5573721847757274,0.0,1.6708096375882533,0.0,0.0,0.0,0.0,0.0,0.0,SANDUICHE DE CARNE,#0055AA
CHEESEBURGER,2.254637984756117,1.8503185642776787,1.5993151065092701,1.4851164879717849,0.0,2.7962159688776347,1.123014171611962,1.1857907282585758,0.0,2.744105057729459,0.0,0.0,0.0,0.0,0.0,0.0,SANDUICHE DE CARNE,#0055AA
